epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
79,9.755282581475728e-06,0.2005,0.1226,92.4,95.49,31.72,1.73,"[2887, 11, 46, 12, 2873, 77, 225, 109, 4698]"
80,9.999999999999958e-06,0.1969,0.1164,92.76,95.47,29.95,1.72,"[2884, 9, 51, 14, 2854, 94, 223, 91, 4718]"
81,9.755282581475732e-06,0.1999,0.1216,92.5,95.28,30.99,1.72,"[2888, 9, 47, 14, 2845, 103, 224, 106, 4702]"
82,9.045084971874713e-06,0.1961,0.1188,92.69,95.47,31.87,1.81,"[2883, 14, 47, 10, 2871, 81, 216, 115, 4701]"
83,7.938926261462329e-06,0.1959,0.12,92.71,95.54,31.23,1.77,"[2885, 14, 45, 10, 2875, 77, 216, 113, 4703]"
84,6.545084971874714e-06,0.1919,0.1159,92.82,95.36,32.3,1.76,"[2887, 12, 45, 10, 2847, 105, 224, 98, 4710]"
85,4.999999999999975e-06,0.1882,0.1169,93.03,95.52,31.28,1.76,"[2882, 13, 49, 10, 2871, 81, 220, 103, 4709]"
86,3.4549150281252538e-06,0.1867,0.1159,93.04,95.57,31.17,1.73,"[2885, 14, 45, 10, 2873, 79, 217, 107, 4708]"
87,2.0610737385376375e-06,0.1883,0.1176,92.84,95.42,31.47,1.74,"[2890, 12, 42, 14, 2841, 107, 226, 86, 4720]"
88,9.549150281252726e-07,0.188,0.1165,92.88,95.52,30.93,1.69,"[2890, 12, 42, 12, 2860, 90, 221, 101, 4710]"
89,2.447174185242302e-07,0.1893,0.1167,92.77,95.43,31.01,1.67,"[2888, 13, 43, 12, 2858, 92, 222, 105, 4705]"
90,0.0,0.1909,0.1176,92.89,95.4,30.0,1.72,"[2888, 13, 43, 10, 2860, 92, 231, 100, 4701]"
91,2.447174185242324e-07,0.1911,0.1186,92.88,95.42,31.31,1.69,"[2891, 11, 42, 12, 2860, 90, 228, 106, 4698]"
92,9.549150281252769e-07,0.1883,0.1165,92.97,95.44,30.37,1.76,"[2888, 13, 43, 14, 2856, 92, 225, 98, 4709]"
93,2.0610737385376604e-06,0.1888,0.1152,93.06,95.51,31.29,1.77,"[2891, 12, 41, 12, 2849, 101, 217, 96, 4719]"
94,3.4549150281253376e-06,0.1908,0.1117,93.01,95.46,31.06,1.75,"[2879, 13, 52, 10, 2851, 101, 207, 104, 4721]"
95,5.000000000000095e-06,0.1843,0.1201,93.1,95.12,30.64,1.77,"[2892, 13, 39, 12, 2862, 88, 260, 110, 4662]"
96,6.545084971874852e-06,0.1901,0.1154,92.95,95.36,31.26,1.72,"[2888, 13, 43, 14, 2836, 112, 221, 92, 4719]"
97,7.9389262614625e-06,0.1844,0.1148,93.12,95.47,31.59,1.77,"[2886, 15, 43, 12, 2871, 79, 216, 118, 4698]"
98,9.04508497187489e-06,0.1865,0.1088,93.1,95.51,30.93,1.71,"[2888, 13, 43, 12, 2847, 103, 209, 101, 4722]"
99,9.755282581475948e-06,0.1888,0.1129,92.86,95.47,31.0,1.73,"[2889, 13, 42, 12, 2847, 103, 210, 104, 4718]"
100,1.0000000000000184e-05,0.1863,0.1086,92.97,95.46,31.12,1.76,"[2888, 11, 45, 12, 2828, 122, 210, 85, 4737]"
101,9.755282581475947e-06,0.1816,0.1093,93.23,95.61,31.43,1.69,"[2891, 11, 42, 10, 2862, 90, 212, 104, 4716]"
